x, state0, state1, state2, state3, state4, state5, state6, state7, state8, state9, state10, state11, state12, state13, state14, state15, state16, state17, state18, state19, state20, state21, state22, state23, state24, state25, state26, state27, state28, state29, state30, state31, state32, state33, state34, state35, state36, state37, state38, state39, state40, state41, state42, state43, state44, state45, state46, state47, state48, state49
-1.90200e+01, -1.39596e-17, 1.32022e-17, -1.40589e-17, -5.79437e-18, -7.70849e-18, -1.53654e-17, -2.30872e-17, -4.54632e-18, 1.95111e-17, 3.49619e-17, 1.98516e-18, 4.66280e-17, 2.92956e-17, -7.98474e-18, -3.29395e-18, 1.22726e-17, -4.88046e-19, 1.34803e-17, 5.65085e-19, 1.02589e-17, 2.99967e-17, 1.96356e-17, 8.22673e-18, 3.50335e-17, -3.07430e-17, -2.32582e-18, 1.27716e-18, 2.96328e-17, 1.67028e-17, -1.72827e-17, 1.31670e-17, 5.40141e-18, 8.73439e-18, -7.50723e-18, -2.12060e-17, -1.62710e-17, 6.37801e-18, 2.68106e-18, -1.35819e-17, -1.50152e-17, 1.08752e-17, 3.92969e-19, -4.81910e-17, -6.61084e-18, 1.68263e-17, 4.87800e-18, -2.41010e-17, -2.48744e-17, -2.31324e-17, 1.73120e-17
-1.89600e+01, -2.78769e-18, -1.06436e-18, -1.06102e-17, -2.88030e-17, -6.29494e-18, -4.81994e-17, -3.88457e-17, 3.20847e-17, 3.15518e-17, 4.43705e-17, 7.88275e-18, 4.82415e-17, 2.50728e-17, -9.92623e-18, 1.81036e-17, 4.34561e-18, 1.75891e-17, 9.12346e-19, 3.76594e-18, -3.18196e-18, -5.44976e-18, 1.00085e-17, 6.72018e-18, 2.47193e-17, -1.19095e-17, -2.05399e-17, 2.79995e-18, -1.00644e-17, 2.52406e-18, -2.70076e-17, -6.03613e-18, -1.35313e-17, -1.68315e-18, 1.34494e-17, -4.24132e-18, -4.79772e-18, -1.70742e-17, 4.75916e-18, -1.36331e-17, 1.08017e-17, -1.58851e-18, -1.87953e-17, 9.13440e-18, -7.92439e-18, 2.15745e-18, -1.63435e-17, -1.16870e-17, -1.85476e-17, -1.30746e-17, -3.73902e-18
-1.89000e+01, 3.90079e-19, 1.07705e-18, 1.32832e-17, -5.43528e-18, -5.59154e-18, -4.34852e-17, -1.35855e-17, 2.70725e-17, 2.11619e-17, 1.81264e-17, -1.74267e-18, 4.67195e-17, 3.74762e-17, -2.35334e-18, 9.75983e-18, 3.94687e-18, 2.71394e-17, 1.06075e-17, -7.65048e-18, -9.45409e-18, 6.69259e-18, -8.13005e-18, -1.93189e-17, 2.03979e-17, -1.42966e-17, -1.60233e-17, -8.06389e-18, -8.61063e-18, 3.55258e-18, -9.60733e-18, -6.25115e-18, -1.35666e-17, -6.24374e-18, -3.03615e-17, 9.05038e-19, 2.42095e-17, 1.51030e-18, -5.18207e-18, 1.86508e-17, 1.84611e-18, -9.76149e-18, 1.87594e-17, 5.10078e-18, -2.68775e-18, 3.04557e-18, -4.41111e-18, -5.74806e-17, -5.87178e-18, 3.86994e-17, 1.58212e-17
-1.88400e+01, -1.56600e-17, 2.61468e-17, 2.18595e-17, -3.89860e-17, 2.54021e-17, 2.69745e-18, -5.44530e-17, 1.00686e-17, 3.45823e-17, 3.91990e-17, -7.31736e-18, 4.04514e-17, 2.62060e-18, -6.50816e-19, 1.41605e-17, -1.17969e-17, 4.02679e-18, 8.71816e-18, -8.07701e-18, 2.12098e-17, 1.45993e-17, -1.69822e-17, -6.83762e-18, 2.47222e-17, -2.90925e-18, 2.65771e-17, -1.36640e-17, -1.07064e-17, 1.67169e-17, 2.24451e-17, -1.50278e-17, -3.20694e-17, -2.05747e-17, -2.22216e-17, -5.57288e-18, -1.32377e-17, -7.52903e-18, -1.95370e-18, 5.43455e-18, 1.78978e-17, -2.03865e-17, -2.83573e-17, -9.65518e-18, -2.20073e-17, -5.63471e-18, -1.01440e-17, -3.13856e-18, -9.46590e-18, 2.21845e-17, 9.49845e-18
-1.87800e+01, -4.45954e-18, 1.11771e-17, -1.52734e-19, -2.19195e-17, -1.33293e-17, -2.89772e-17, -4.52612e-18, 2.78832e-17, 1.97054e-17, -3.94564e-19, -1.39237e-17, 2.49309e-17, 2.19641e-17, -2.48477e-17, 8.40159e-19, 8.93676e-18, 2.93981e-17, 2.20373e-18, -1.44309e-17, -1.38227e-17, -1.27772e-17, -2.59520e-17, -1.75946e-17, 1.67152e-17, -5.97135e-18, 7.92456e-19, 2.04659e-18, -2.28848e-17, 3.82826e-18, -2.15625e-17, -2.18879e-17, -3.18775e-17, -5.67372e-18, 1.61155e-17, 1.27711e-17, -7.81372e-18, -6.55533e-19, -1.95721e-18, 1.14620e-17, 1.62130e-17, 4.50999e-18, -9.13210e-19, -6.69495e-18, -8.55132e-18, -5.63918e-18, -4.89550e-18, -1.60384e-17, 2.69038e-18, -1.93858e-17, -1.59749e-17
-1.87200e+01, 5.07197e-18, 3.60599e-17, -1.21391e-18, 1.25757e-17, -4.29928e-20, -1.00899e-17, -7.97573e-18, 2.94645e-18, -1.90837e-18, -7.21047e-18, -1.30529e-17, 2.71645e-17, 4.51740e-18, -7.97260e-18, 8.14007e-18, -1.88226e-17, 2.39563e-17, -8.90812e-18, 2.39907e-18, 8.44980e-18, 8.11001e-18, 2.00580e-17, 3.24740e-18, 2.87505e-17, 1.10423e-17, -2.81751e-17, 5.09195e-18, 1.04649e-17, -1.85204e-17, -1.44661e-17, 1.75120e-17, 1.18022e-17, 5.94089e-19, -1.75387e-17, -2.59222e-18, 1.05753e-17, 2.32645e-17, -1.52315e-18, -1.60916e-17, 2.59586e-17, -1.20725e-19, -1.29587e-18, 2.37888e-17, 6.33318e-18, 1.47696e-17, 2.33026e-17, 8.26030e-18, -2.47277e-17, 1.75552e-17, -1.68632e-18
-1.86600e+01, 3.70125e-17, 2.39237e-17, 8.62901e-18, 2.96349e-17, 2.50243e-17, 4.49265e-18, 5.28944e-17, -2.35093e-19, 1.50251e-17, -3.61941e-17, 3.13014e-18, 1.10630e-17, 1.69672e-17, -4.19483e-17, -3.47530e-17, 1.03094e-17, -6.42599e-18, 6.28529e-18, -1.11896e-17, 3.28709e-19, -7.17886e-19, -1.68712e-19, -2.81902e-17, 6.06104e-18, -1.85746e-17, -1.74311e-17, -1.78962e-17, 1.04811e-17, -2.78469e-17, -3.32774e-18, -6.63053e-18, 7.53249e-18, -1.97245e-17, -3.40289e-17, 6.92396e-18, 9.17420e-18, 1.14106e-17, 1.54860e-17, 1.80315e-17, 7.92657e-18, 7.47854e-18, -6.59993e-18, -2.76603e-17, 2.85121e-17, 1.58126e-17, -1.46586e-17, 7.23286e-18, 2.56996e-17, 1.57854e-17, 5.17540e-18
-1.86000e+01, -7.51038e-18, 2.06331e-17, -3.18065e-18, 3.27460e-17, 4.41527e-17, 9.91664e-18, 4.54261e-17, 2.42036e-17, -2.14867e-17, -6.65530e-17, -1.15330e-18, 1.64462e-17, 1.97790e-17, 3.80634e-18, -4.36541e-17, 6.53661e-18, -6.12800e-18, 1.50874e-17, -2.47316e-17, -2.03153e-17, -3.40602e-17, -3.04167e-17, 1.08343e-17, -7.64236e-18, 1.29273e-17, 1.82193e-18, 1.33961e-17, 1.73624e-17, 7.24546e-18, -2.23436e-18, -1.65581e-17, -6.53430e-18, 2.33477e-17, -1.07219e-17, -7.83805e-18, -3.15532e-18, 6.04012e-18, 2.88977e-17, 2.63279e-17, 3.57136e-17, -1.55979e-17, 1.43886e-17, -9.53048e-18, 6.62730e-18, -8.13392e-18, -1.69902e-17, 3.12766e-17, -1.08186e-17, -2.02036e-17, -1.55276e-17
-1.85400e+01, 2.85362e-17, -1.00355e-17, 5.43836e-18, 5.41105e-17, -2.47975e-17, -3.17356e-17, 5.66869e-17, 2.45415e-17, -3.78707e-17, -1.95546e-17, -3.48226e-17, 2.92380e-17, -2.45596e-17, 3.49397e-17, -2.96022e-17, 2.34335e-17, 8.85737e-18, -1.46681e-17, -3.26265e-17, -1.24606e-17, -4.49190e-17, -6.86537e-18, 2.39033e-18, -3.92728e-18, -2.18377e-17, 3.62523e-17, 3.80200e-17, 1.23685e-17, 2.31172e-17, 4.69782e-18, -2.59680e-17, -2.61180e-17, 7.98922e-18, -4.62232e-18, 8.68411e-19, 2.31590e-17, 4.61845e-17, -2.05016e-18, 6.01374e-18, 2.95256e-17, 2.08726e-18, -2.65194e-18, 4.77791e-17, -4.20869e-17, -2.63414e-17, 4.78827e-18, -1.43013e-17, -1.43075e-17, 6.66375e-18, -9.88035e-18
-1.84800e+01, 1.86831e-17, 2.78382e-17, 1.20216e-17, 5.67873e-17, 1.25607e-18, 1.69418e-17, 9.38955e-17, -1.43984e-17, -4.31820e-18, -6.76482e-17, -1.85308e-17, 2.30760e-17, -1.72111e-17, -1.19846e-17, -3.85945e-17, 2.34183e-17, -8.24284e-18, -3.29449e-18, -1.92987e-17, 1.30445e-17, -1.59016e-17, -4.09546e-18, -1.77003e-18, -4.13335e-17, -5.04434e-18, -1.45901e-17, -3.31133e-17, 1.04539e-17, 2.51200e-17, 3.28656e-17, -1.14317e-17, -1.53379e-17, 1.30023e-17, 1.35316e-18, -3.09326e-17, 3.01730e-17, 6.69990e-18, 1.19135e-17, 2.13809e-17, 3.24745e-17, 5.82729e-18, -1.37574e-17, 2.84415e-17, -8.84406e-18, 8.65299e-18, -6.66229e-18, -2.20505e-17, 8.59546e-18, 1.17741e-17, 3.62197e-17
-1.84200e+01, 1.49650e-17, 3.95959e-17, 1.48875e-17, 5.80001e-17, 2.10340e-18, 4.36481e-17, 1.16846e-16, -2.43922e-17, -8.13251e-18, -1.37720e-17, -3.21907e-17, -2.00255e-17, -2.37259e-17, -8.63091e-18, -1.17767e-17, -2.29145e-17, -2.22898e-17, 7.93986e-18, -1.91526e-18, 1.61688e-19, 2.04693e-18, -1.30017e-17, -1.98095e-17, -2.95159e-17, -1.25538e-17, -1.27130e-17, 1.84882e-17, 5.62197e-19, 1.39772e-17, -1.75767e-18, 2.28132e-17, 8.38214e-18, 2.30762e-18, 3.00351e-17, 7.09266e-18, -2.76427e-17, -3.64878e-17, 3.19170e-17, -2.21177e-17, 2.47350e-17, -2.49717e-17, -1.78348e-17, -1.78495e-17, -1.99482e-17, 2.54861e-17, 2.49266e-17, 1.11753e-17, -1.12025e-17, 3.18431e-17, 1.72106e-17
-1.83600e+01, 1.97765e-17, -8.84155e-18, 9.88977e-18, 3.55418e-17, 7.92217e-18, 2.06871e-17, 1.15884e-16, -2.47609e-17, -2.31964e-17, -5.50372e-17, -2.53938e-17, -2.97131e-17, 3.97893e-18, -1.28995e-17, 1.13660e-18, 9.40015e-18, 1.04399e-17, 1.22229e-17, 2.46398e-17, -1.32054e-17, -2.04104e-17, -1.13037e-17, -1.90798e-17, 1.51242e-17, 1.55106e-17, 1.97515e-17, 1.64405e-17, -1.51851e-17, -1.16321e-17, 1.27683e-17, -1.57919e-17, 2.02702e-17, -2.26725e-17, -6.14373e-18, -1.42476e-17, 7.03959e-18, 3.06371e-17, -6.94190e-18, 2.30561e-17, 3.41246e-17, -2.80584e-17, -1.88880e-17, -7.25476e-19, -1.49821e-18, 2.58915e-17, 1.33485e-17, -1.72034e-17, -1.39920e-17, 3.41926e-17, 1.49171e-17
-1.83000e+01, 1.11034e-17, 3.84670e-18, 1.82058e-17, 1.62068e-17, 9.00674e-19, 4.67850e-17, 8.06686e-17, 2.78558e-18, -2.68171e-17, -1.80707e-17, -2.61103e-17, 6.54664e-18, -1.60119e-17, 3.73897e-17, 1.99663e-17, -4.31574e-18, 3.79873e-19, 1.11627e-17, 3.68430e-18, 1.10266e-17, 6.55670e-18, 1.36747e-17, 1.77791e-17, 8.96733e-18, -1.45223e-17, 4.84655e-18, -1.35078e-18, 1.31686e-17, -1.48095e-17, 1.39453e-17, -1.94037e-17, -2.20924e-17, 6.89015e-18, -3.08747e-17, -1.00480e-17, -6.89205e-18, 1.25495e-17, 1.51783e-17, 4.47902e-17, -1.27700e-17, -2.72283e-18, -2.03026e-17, -2.33175e-17, -1.79238e-18, 1.81599e-17, 6.51457e-18, -2.06531e-17, -4.11314e-17, 7.95291e-17, 2.78210e-17
-1.82400e+01, 2.01574e-17, 4.22649e-17, 1.19795e-17, 3.94930e-17, -8.85786e-18, 2.01560e-17, 8.40647e-17, -8.15569e-19, 1.86588e-17, -7.92145e-18, 3.48302e-17, -1.09920e-17, 1.26582e-17, -1.82437e-17, 3.78783e-18, -9.06276e-18, 5.39628e-18, 1.27639e-18, -3.61536e-18, -3.48716e-19, -8.48209e-18, 2.00666e-17, 9.57107e-18, 1.43827e-17, 5.52887e-18, -2.36595e-17, 1.43763e-17, 8.03119e-18, 2.57904e-17, -1.16095e-17, -9.53195e-18, 1.10629e-17, 1.87747e-17, 2.04136e-17, 9.30479e-18, 1.01421e-18, -1.29259e-17, 2.04587e-17, 1.25572e-17, 1.69776e-17, -7.31124e-18, -8.55836e-18, 4.30343e-19, -1.22883e-17, 4.44982e-17, 1.88139e-17, -2.57871e-17, -1.60925e-17, 2.11230e-17, 3.61425e-17
